rank,player,elo
1,Carlos Alcaraz,2268.4
2,Jannik Sinner,2267.6
3,Novak Djokovic,2076.6
4,Alexander Zverev,2046.1
5,Taylor Fritz,2034.0
6,Alex De Minaur,2011.0
7,Ben Shelton,1976.2
8,Felix Auger Aliassime,1975.7
9,Daniil Medvedev,1968.5
10,Alexander Bublik,1966.4
11,Lorenzo Musetti,1957.7
12,Casper Ruud,1951.1
13,Jiri Lehecka,1937.6
14,Jack Draper,1932.4
15,Joao Fonseca,1931.9
16,Alejandro Davidovich Fokina,1919.9
17,Holger Rune,1906.9
18,Learner Tien,1901.6
19,Karen Khachanov,1893.9
20,Francisco Cerundolo,1882.0
21,Ugo Humbert,1880.6
22,Andrey Rublev,1875.2
23,Corentin Moutet,1873.1
24,Arthur Fils,1872.6
25,Stefanos Tsitsipas,1866.7
26,Tommy Paul,1861.8
27,Sebastian Korda,1861.2
28,Grigor Dimitrov,1859.4
29,Arthur Rinderknech,1855.5
30,Valentin Vacherot,1855.4
31,Jakub Mensik,1853.5
32,Gael Monfils,1848.2
33,Flavio Cobolli,1845.7
34,Tallon Griekspoor,1843.8
35,Cameron Norrie,1835.5
36,Gabriel Diallo,1826.0
37,Brandon Nakashima,1825.3
38,Denis Shapovalov,1823.5
39,Hubert Hurkacz,1820.8
40,Matteo Berrettini,1819.7
41,Frances Tiafoe,1817.9
42,Tomas Machac,1817.7
43,Jenson Brooksby,1817.6
44,Jaume Munar,1816.6
45,Alexei Popyrin,1809.3
46,Zizou Bergs,1800.1
47,Fabian Marozsan,1798.6
48,Marin Cilic,1798.2
49,Marton Fucsovics,1798.1
50,Arthur Cazaux,1796.7
51,Kamil Majchrzak,1793.4
52,Roberto Bautista Agut,1790.9
53,Giovanni Mpetshi Perricard,1789.1
54,Reilly Opelka,1784.4
55,Raphael Collignon,1782.6
56,Jordan Thompson,1781.9
57,Yibing Wu,1780.1
58,Alejandro Tabilo,1778.4
59,Luciano Darderi,1775.2
60,Kei Nishikori,1772.5
61,Tomas Martin Etcheverry,1771.6
62,Jacob Fearnley,1769.5
63,Matteo Arnaldi,1764.8
64,Benjamin Bonzi,1763.9
65,Lorenzo Sonego,1763.3
66,Alex Michelsen,1762.4
67,Yannick Hanfmann,1758.8
68,Nuno Borges,1756.7
